id;screen_name;name;location;url;description;verified;follower;following;lists;likes;tweets;created;lang;bkg-image;profile-image
2342590440;bangbangcon;!!Con;NYC;https://t.co/XMgzdATlQQ;A conference of ten-minute talks about the joy, excitement, and surprise of computing!!  Est. 2014 in NYC.;False;2015;1;79;2285;1516;2014-02-13 21:18:37;en;http://pbs.twimg.com/profile_background_images/573741219743801344/VCUWUdj7.png;http://pbs.twimg.com/profile_images/833876828422934529/9KEV49nN_normal.jpg
2301963115;EventsLF;LF Events;;http://t.co/CsGtN142Bc;We hold events across the globe, with a strong focus on community, innovation, and advancing the latest technologies and developments via the Linux platform.;False;3384;467;122;57;8005;2014-01-20 20:08:14;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/425417806864068608/U78U1-6Q_normal.png
2231147510;DjangoConEurope;DjangoCon Europe;Heidelberg, Germany;https://t.co/WEmSBRnk9U;DjangoCon Europe, May 23-27th, 2018;False;2464;75;92;1216;2285;2013-12-05 08:24:14;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/922577505348935680/AwONGIQ4_normal.jpg
2201991409;CraftConf;Craft Conference;Budapest, Hungary, April 25-28;https://t.co/Cky5PDQJ57;Join Craft to learn which tools, methods, practices should be part of the toolbox of a modern developer/company, and to have a compass on new trends and topics.;False;3757;207;167;3526;1431;2013-11-18 21:12:34;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/378800000824012775/97bb1d972974a336814f088a932add3f_normal.png
1966769298;dotGoEu;dotGo;Paris;https://t.co/Ztb0ruB4OS;The European Go conference - 5th edition on March 25, 2019 in Paris - part of the @dotConferences series;False;3792;249;141;242;1691;2013-10-17 13:08:49;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/659732443155595264/ilNMgNyH_normal.png
1925032988;CppCon;CppCon;Bellevue, WA;https://t.co/A0oOdNoi0A;I am the conference for the entire C++ community.;False;9025;107;160;85;602;2013-10-01 23:58:02;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/644673216615596033/Kz8yz_JH_normal.png
1664710004;RejectJS;Reject.JS;Berlin, Germany;http://t.co/0OexBiUNCG;An annual community JavaScript conference in Berlin;False;1615;1;89;23;1189;2013-08-12 10:10:41;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/489055075478691840/Cmay9WGM_normal.png
1641434394;ngconf;ng-conf;Salt Lake City, Utah;http://t.co/NUDdUgHFjw;"ng-conf 2017
Grand America Hotel in Salt Lake City UT  - April 5th-7th, 2017 - The worlds best Angular Conference.";False;16959;315;437;1391;1386;2013-08-02 22:29:09;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/918859241015750656/XNYntX4-_normal.jpg
1596718267;redecentralize;Redecentralize;Everywhere;https://t.co/SElZpxPvw3;Find apps which are resilient, private and increase competition: https://t.co/seC8CetAcz Also: Conferences, local groups + founder interviews.;False;2744;1368;176;115;878;2013-07-15 20:30:44;en;http://abs.twimg.com/images/themes/theme7/bg.gif;http://pbs.twimg.com/profile_images/378800000281010351/61fde5ebed2e01aa7ab2fea2eaa4b27d_normal.png
1566598202;cfgmgmtcamp;Config Mgmt Camp;Gent, Belgium;http://t.co/Kre2zOe6Ra;Infracoders meet at Config Management Camp since February 2014;False;1696;36;75;69;1073;2013-07-03 20:11:26;en;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/378800000488799163/ea00eef8c505ead0baca283d1bb419ab_normal.png
